country,_date,category_class,subject,hazards,reason_text,reference
Ecuador,2023-08-03 14:11:31,SPS,DetecciÃ³n de Vibrio cholerae en 25 g en langostinos de Ecuador. Detection of Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},DetecciÃ³n de Vibrio cholerae en 25 g en langostinos de Ecuador. Detection of Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5273
Ecuador,2023-08-03 13:00:16,SPS,Vibrio cholerae en langostinos congelados de Ecuador.Vibrio cholerae in frozen shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos congelados de Ecuador.Vibrio cholerae in frozen shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5262
Ecuador,2023-08-02 15:15:58,SPS,V.cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},V.cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5229
Ecuador,2023-07-26 12:05:52,TBT,"Sulphites in chilled cooked whiteleg shrimps (Penaeus vannamei) from Ecuador, packaged in Spain",sulphite  too high content - {food additives and flavourings},"Sulphites in chilled cooked whiteleg shrimps (Penaeus vannamei) from Ecuador, packaged in Spain | sulphite  too high content - {food additives and flavourings}",2023.5033
Ecuador,2023-07-25 15:23:15,SPS,Vibrio cholerae in Pacific white shrimps from Ecuador.,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in Pacific white shrimps from Ecuador. | Vibrio cholerae  - {pathogenic micro-organisms},2023.5006
Ecuador,2023-07-25 15:19:57,SPS,Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5004
Ecuador,2023-07-25 15:19:26,SPS,"ContaminaciÃ³n microbiolÃ³gica (Vibrio cholerae), langostinos congelados, Ecuador. Microbiological contamination (Vibrio cholerae), frozen shrimps, Ecuador",Vibrio cholerae  - {pathogenic micro-organisms},"ContaminaciÃ³n microbiolÃ³gica (Vibrio cholerae), langostinos congelados, Ecuador. Microbiological contamination (Vibrio cholerae), frozen shrimps, Ecuador | Vibrio cholerae  - {pathogenic micro-organisms}",2023.5003
Ecuador,2023-07-18 12:57:41,SPS,Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.4826
Ecuador,2023-07-18 12:45:19,SPS,Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.4824
Ecuador,2023-07-07 16:43:25,Other,Overlimited sulfites in frozen whole tropical shrimp(Litopenaeus vannamei),sulphite  too high content - {food additives and flavourings},Overlimited sulfites in frozen whole tropical shrimp(Litopenaeus vannamei) | sulphite  too high content - {food additives and flavourings},2023.4592
