MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,REFUSAL_DATE_PARSED,refusal_row_id,mapped_charge_count,mapped_charge_categories,mapped_charge_codes,sps_tbt_category,country_name,period
3016889655,AROGYA HEALTHCARE PVT LTD,A15 Mugappair Ind Estat,,Chennai,,IN,61GDY61,15-May-24,DSEI,AEK-5019982-5,41,1,,No,No,75,SULFASALAZINE (ANTI-BACTERIAL) (NOT ANTIBIOTIC),2024-05-15,10697,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3005757050,Glenmark Pharmaceuticals Limited,"Village Kishanpura, Baddi Nalagarh Road",Baddi,Solan,Himachal Pradesh,IN,62ODY09,30-Aug-24,DSEI,AEK-6382147-2,51,1,,No,No,75,TELMISARTAN (ANTI-HYPERTENSIVE - PART II),2024-08-30,10698,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3029044196,ZYDUS HEALTHCARE LIMITED PLOT,No 254/255,,Ahmedabad,Gujarat,IN,66VIY99,03-Jul-25,DSEI,AEK-7263387-6,72,1,,No,No,75,"MISCELLANEOUS PATENT MEDICINES, ETC.",2025-07-03,10699,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3020979554,GS PHARMBUTOR PVT LTD,Modi Steel Compound,,Ghaziabad,,IN,62FDY34,01-Dec-25,DSEI,AEK-7840099-9,60003,1,,No,No,75,"POVIDONE IODINE (ANTI-INFECTIVE, TOPICAL)",2025-12-01,10700,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3003914488,Nam Phong Trading Company,"12 Le Thi Nga Street, Group 3",Phuoc Vinh An Commune; Cu Chi District,Ho Chi Minh City,,VN,28BGH77,15-Oct-25,DWCI,AVV-9970776-6,192,1,,No,No,251,"LESSER GALANGALE, GROUND, CRACKED (SPICE)",2025-10-15,10701,1,SPS,POISONOUS-251,SPS,Vietnam,2024-2026
3009846601,HALDIRAM SNACKS PVT. LTD.,A-11 Sector 68,,Noida,Uttar Pradesh,IN,07YYY99,28-Jul-25,DWCI,B9B-0072631-2,62,1,,No,No,"308, 3821","SNACK FOODS NOT ELSEWHERE MENTIONED, N.E.C.",2025-07-28,10702,2,SPS,"MFR INJ-3821, MFR INSAN-308",SPS,India,2024-2026
3010012547,Kalyan Aqua & Marine Exports India Pvt Ltd,Keerthipadu Village,Maddipadu Mandal,Prakasam,Andhra Pradesh,IN,16XGT21,23-Aug-24,DSEI,8TH-0031487-0,11,1,,Yes,No,"2860, 3220","SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2024-08-23,10703,2,SPS,"NITROFURAN-3220, VETDRUGRES-2860",SPS,India,2024-2026
3031540886,Devi Sea Foods Limited,"Unit-3, R.S.No. 741/2P, 742/3P, 745/6P, 7P&8P, 746/3P&4P","NH-16, Peravali Road, Tanuku",West Godavari,Andhra Pradesh,IN,16XGN21,10-Dec-24,DNEI,991-0274013-3,11,1,,No,Yes,249,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2024-12-10,10704,1,SPS,FILTHY-249,SPS,India,2024-2026
3029735085,M/S WIPRO ENTERPRISES (P) LTD,"Survey No 306, Generalpark, Plot","No 1-11, 14-21, 24-27 Maheshwaram",Telangana,Telangana,IN,53JY01,22-Aug-24,DNEI,9AJ-0861408-1,61,1,,No,No,197,BATH SOAPS AND DETERGENTS (NOT ANTIPERSPIRANT) (PERSONAL CLEANLINESS),2024-08-22,10705,1,SPS,COSM COLOR-197,SPS,India,2024-2026
3037967791,RISING RAINBOW WORLDWIDE PRIVATELIMITED,796 A 5 Office No 1 Suy,Ash Plaza Bhandarkar Road,Pune,,IN,21SGC05,09-Jun-25,DSWI,9B7-1405881-2,62,1,,No,No,241,MANGO (SUBTROPICAL AND TROPICAL FRUIT),2025-06-09,10706,1,SPS,PESTICIDE-241,SPS,India,2024-2026
